delegacia_xlsx_name
01ª DDM CENTRO
03º D.P. S.JOSE RIO PRETO
03º D.P. S.SEBASTIÃO
03º D.P. SANTO ANDRÉ
03º D.P. SANTOS
03º D.P. SOROCABA
03º D.P. SUMARE
03º D.P. SÃO CARLOS
03º D.P. SÃO VICENTE
03º D.P. TAUBATE
04ª DDM NORTE
04º D.P. AEROP/TUR-VIRACOPOS
04º D.P. AMERICANA
04º D.P. ARARAQUARA
04º D.P. ARAÇATUBA
04º D.P. ASSIS
04º D.P. CAMPINAS
04º D.P. CONSOLAÇÃO
04º D.P. DIADEMA
04º D.P. FRANCA
04º D.P. GUARULHOS
04º D.P. ITAPETININGA
04º D.P. ITU
04º D.P. JACAREI
04º D.P. JUNDIAI
04º D.P. LIMEIRA
04º D.P. MARÍLIA
04º D.P. MAUA
04º D.P. MOGI DAS CRUZES
04º D.P. OSASCO
04º D.P. PIRACICABA
04º D.P. PRES. PRUDENTE
04º D.P. RIBEIRAO PRETO
04º D.P. S. SEBASTIÃO
04º D.P. S.BERNARDO DO CAMPO
04º D.P. S.JOSE DOS CAMPOS
04º D.P. S.JOSE RIO PRETO
04º D.P. SANTO ANDRÉ
04º D.P. SANTOS
04º D.P. SOROCABA
04º D.P. SUMARE
04º D.P. SÃO CARLOS
04º D.P. TAUBATE
05º D.P. ACLIMACAO
05º D.P. CAMPINAS
05º D.P. FRANCA
05º D.P. GUARULHOS
05º D.P. JUNDIAI
05º D.P. OSASCO
05º D.P. RIBEIRAO PRETO
05º D.P. S.BERNARDO DO CAMPO
05º D.P. S.JOSE DOS CAMPOS
05º D.P. S.JOSE RIO PRETO
05º D.P. SANTO ANDRÉ
05º D.P. SANTOS
05º D.P. SOROCABA
05º D.P. SÃO CARLOS
06º D.P. CAMBUCI
06º D.P. CAMPINAS
06º D.P. GUARULHOS
06º D.P. JUNDIAI
06º D.P. OSASCO
06º D.P. PIRACICABA
06º D.P. PRES. PRUDENTE
06º D.P. RIBEIRAO PRETO
06º D.P. S.BERNARDO DO CAMPO
06º D.P. S.JOSE DOS CAMPOS
06º D.P. SANTO ANDRÉ
06º D.P. SOROCABA
07ª DDM ITAQUERA
07º D.P. CAMPINAS
07º D.P. GUARULHOS
07º D.P. JUNDIAI
07º D.P. LAPA
07º D.P. OSASCO
07º D.P. PIRACICABA
07º D.P. S.BERNARDO DO CAMPO
07º D.P. S.JOSE DOS CAMPOS
07º D.P. S.JOSE RIO PRETO
07º D.P. SANTOS
08º D.P. BRAS
08º D.P. CAMPINAS
08º D.P. GUARULHOS
08º D.P. OSASCO
08º D.P. RIBEIRAO PRETO
08º D.P. S.BERNARDO DO CAMPO
08º D.P. S.JOSE DOS CAMPOS
08º D.P. SOROCABA
09ª DDM OESTE
09º D.P. - CARANDIRU
09º D.P. CAMPINAS
09º D.P. GUARULHOS
09º D.P. OSASCO
09º D.P. SOROCABA
100º D.P. JDIM HERCULANO
101º D.P. JDIM IMBUIAS
102º D.P. SOCORRO
103º D.P. COHABII/ITAQU.
10º D.P. CAMPINAS
10º D.P. OSASCO
10º D.P. PENHA DE FRANCA
10º D.P. SOROCABA
11º D.P. CAMPINAS
11º D.P. SANTO AMARO
11º D.P. SOROCABA
12º D.P. PARI
13º D.P. CAMPINAS
13º D.P. CASA VERDE
14º D.P. PINHEIROS
15º D.P. DR. LUC. H BEIGUELMAN
16º D.P. VILA CLEMENTINO
17º D.P. DOUTOR ALDO GALIANO
18º D.P. ALTO DA MOOCA
19º D.P. VILA MARIA
20º D.P. AGUA FRIA
21º D.P. VILA MATILDE
22º D.P. SAO MIGUEL PTA
23º D.P. PERDIZES
24º D.P. PONTE RASA
25º D.P. PARELHEIROS
26º D.P. SACOMA
27º DP DR. IGNÁCIO FRANCISCO
28º D.P. FREGUESIA DO O
29º D.P. VILA PRUDENTE
30º D.P. TATUAPE
31º D.P. VILA CARRAO
32º D.P. ITAQUERA
33º D.P. PIRITUBA
34º D.P. MORUMBI
35º D.P. JABAQUARA
36º D.P. VILA MARIANA
37º D.P. CAMPO LIMPO
38º D.P. VILA AMALIA
39º D.P. VILA GUSTAVO
40º D.P. VILA STA MARIA
41º D.P. VILA RICA
42º D.P. PARQUE S. LUCAS
43º D.P. CIDADE ADEMAR
44º D.P. GUAIANAZES
45º D.P. V BRASILANDIA
46º D.P. PERUS
47º D.P. CAPAO REDONDO
48º D.P. CIDADE DUTRA
49º D.P. SAO MATEUS
50º D.P. ITAIM PAULISTA
51º D.P. RIO PEQUENO
52º D.P. PARQUE S.JORGE
53º D.P. PARQUE DO CARMO
54º D.P. CID. TIRADENTES
55º D.P. PARQUE S.RAFAEL
56º D.P. VILA ALPINA
57º D.P. PARQUE DA MOOCA
58º D.P. VILA FORMOSA
59º D.P. JARDIM DOS IPES
62º D.P. ERMELINO MATARAZZO
63º D.P. VILA JACUI
64º D.P. CID.AE CARVALHO
65º D.P. ARTUR ALVIM
66º D.P. JDIM ARICANDUVA
67º D.P. JARDIM ROBRU
68º D.P. LAGEADO
69º D.P. TEOTONIO VILELA
70º D.P. VILA EMA
72º D.P. VILA PENTEADO
73º D.P. JACANA
74º D.P. PARADA TAIPAS
75º D.P. JARDIM ARPOADOR
77º D.P. SANTA CECILIA
78º D.P. JARDINS
80º D.P. VILA JOANIZA
81º D.P. BELEM
83º D.P. PARQUE BRISTOL
85º D.P. JARDIM MIRNA
87º D.P. V. P. BARRETO
89º D.P. JARDIM TABOAO
90º D.P. PQ. NOVO MUNDO
91º D.P. CEASA
92º D.P. PQ. SANTO ANTONIO
93º D.P. JAGUARÉ
95º D.P. HELIÓPOLIS
96º D.P. MONÇÕES
97º D.P. AMERICANOPOLIS
98º D.P. JARDIM MIRIAM
99º D.P. CAMPO GRANDE
DEL.POL.AGUAS DE LINDOIA
DEL.POL.AGUAS DE S. PEDRO
DEL.POL.ALAMBARI
DEL.POL.ALUMINIO
DEL.POL.ALVARES MACHADO
DEL.POL.AMPARO
DEL.POL.AMÉRICO BRASILIENSE
DEL.POL.ANALÂNDIA
DEL.POL.ANHEMBI
DEL.POL.APARECIDA
DEL.POL.APIAI
DEL.POL.ARAMINA
DEL.POL.ARARAS
DEL.POL.ARAÇARIGUAMA
DEL.POL.ARAÇOIABA DA SERRA
DEL.POL.ARTUR NOGUEIRA
DEL.POL.ARUJA
DEL.POL.ATIBAIA
DEL.POL.AURIFLAMA
DEL.POL.BADY BASSIT
DEL.POL.BARIRI
DEL.POL.BARRA BONITA
DEL.POL.BARRA DO TURVO
DEL.POL.BARUERI
DEL.POL.BERTIOGA
DEL.POL.BIRITIBA MIRIM
DEL.POL.BOA ESPERANÇA DO SUL
DEL.POL.BOCAINA
DEL.POL.BOFETE
DEL.POL.BOITUVA
DEL.POL.BOM JESUS DOS PERDÕES
DEL.POL.BORBOREMA
DEL.POL.BRODOWSKI
DEL.POL.CABRÁLIA PAULISTA
DEL.POL.CACHOEIRA PAULISTA
DEL.POL.CAFELÂNDIA
DEL.POL.CAIEIRAS
DEL.POL.CAIUÁ
DEL.POL.CAJAMAR
DEL.POL.CAJATI
DEL.POL.CAJURU
DEL.POL.CAMPO LIMPO PAULISTA
DEL.POL.CAMPOS DO JORDÃO
DEL.POL.CANAS
DEL.POL.CAPELA DO ALTO
DEL.POL.CAPIVARI
DEL.POL.CAPÃO BONITO
DEL.POL.CARAGUATATUBA
DEL.POL.CASA BRANCA
DEL.POL.CASSIA DOS COQUEIROS
DEL.POL.CAÇAPAVA
DEL.POL.CERQUEIRA CESAR
DEL.POL.CESÁRIO LANGE
DEL.POL.CHARQUEADA
DEL.POL.CONCHAS
DEL.POL.CORDEIRÓPOLIS
DEL.POL.CORONEL MACEDO
DEL.POL.COSMÓPOLIS
DEL.POL.COTIA
DEL.POL.CRAVINHOS
DEL.POL.CRISTAIS PAULISTA
DEL.POL.CUBATÃO
DEL.POL.CUNHA
DEL.POL.DOURADO
DEL.POL.ELIAS FAUSTO
DEL.POL.EMBU DAS ARTES
DEL.POL.EMBU-GUAÇU
DEL.POL.ENGENHEIRO COELHO
DEL.POL.ESPIRITO SANTO PINHAL
DEL.POL.ESTIVA GERBI
DEL.POL.FERRAZ DE VASCONCELOS
DEL.POL.FLORÍNIA
DEL.POL.FRANCISCO MORATO
DEL.POL.FRANCO ROCHA
DEL.POL.GARÇA
DEL.POL.GUARACI
